week,n,mean,median,sd,age,age25,age75,bmi,bmi25,bmi75,q25,q75,qmean,qmedian,qq25,qq75
"[24,26)",19,8.98999309121517,9.11999988555908,3.95801175349725,31.9106164383562,0.00036427644336023,0.0036427644336023,24.0444993972778,23.3503994941711,24.7385993003845,5.25,12.4991999864578,0.445394471287727,0.550983905792236,0.258254386484623,0.608518525958061
"[26,28)",9,10.9446223576864,9.30000019073486,8.2190281897775,30.9380136986301,0.000353173672358792,0.00353173672358792,26.6757001876831,24.5956249237061,29.085112730662,4.30000019073486,11.5,0.492755656441053,0.479999989271164,0.189821183681488,0.664092659950256
"[28,30)",13,10.2712614903083,8.51039981842041,6.61863435852909,31.5848173515982,0.000360557275703175,0.00360557275703175,23.3447251319885,22.2211620807648,23.8563504219055,5.5,12,0.477480608683366,0.459390848875046,0.293436288833618,0.677606165409088
"[30,32)",11,9.93636358867992,9.30000019073486,9.3001368400569,31.5187214611872,0.000359802756406247,0.00359802756406247,33.9827651977539,27.90638256073,37.7579822540283,3.5,10.0999999046326,0.417518016289581,0.530864179134369,0.0993825308978558,0.545685470104218
"[32,34)",9,7.97777785195245,7.40000009536743,3.42117591150037,32.1763698630137,0.000367310158253581,0.00367310158253581,22.8900752067566,21.1361124515533,24.6440379619598,5.59999990463257,10,0.405312784843975,0.440071552991867,0.237777784466743,0.540000021457672
"[34,36)",9,9.61982221073574,7.71840000152588,4.85215754196553,29.889497716895,0.000341204311836701,0.00341204311836701,28.3112001419067,23.1685996055603,30.9393000602722,6.51000022888184,12,0.477395587083366,0.415637850761414,0.337448567152023,0.638728320598602
"[36,38)",2,9.15000009536743,9.15000009536743,0.212132169225879,31.6231164383562,0.000360994479889911,0.00360994479889911,35.6173667907715,35.6173667907715,35.6173667907715,9.07500004768372,9.22500014305115,0.544455856084824,0.544455856084824,0.530458375811577,0.55845333635807
"[38,40)",5,9.47184009552002,9.25920009613037,4.20071488589449,27.3077625570776,0.000311732449281708,0.00311732449281708,39.5743246078491,39.5743246078491,39.5743246078491,9,10.3000001907349,0.46699251383543,0.473333328962326,0.455555558204651,0.56671667098999
"[40,42)",8,10.284049987793,8.55199980735779,4.95148903800892,29.3711187214612,0.000335286743395676,0.00335286743395676,32.4556999206543,27.1809005737305,34.2295503616333,6.74249994754791,14.0999999046326,0.518688825890422,0.473345026373863,0.382103644311428,0.713816031813622
"[42,44)",10,12.2000000953674,10.8000001907349,6.86310592814384,30.165296803653,0.000344352703238048,0.00344352703238048,26.7818002700806,24.7083749771118,31.001275062561,6.89999997615814,14.7000000476837,0.554009659588337,0.574133783578873,0.354636453092098,0.727000430226326
"[44,46)",10,15.5495201349258,10.7999997138977,11.6457929264733,30.3576484018265,0.000346548497737745,0.00346548497737745,26.3465003967285,24.1993503570557,33.6557502746582,6.74639999866486,22.8249998092651,0.586520928144455,0.58593937754631,0.342103950679302,0.858965307474136
"[46,48)",4,9.90839993953705,9.52479982376099,4.98049112027957,29.6085045662101,0.000337996627468151,0.00337996627468151,24.0930004119873,24.0930004119873,24.0930004119873,6.70000004768372,12.7331997156143,0.454287529457361,0.419529111124575,0.353892147541046,0.51992449304089
"[48,50)",4,18.7850005626678,16.1000003814697,10.9448727999842,32.2166095890411,0.000367769515856634,0.00367769515856634,30.7173986434937,25.2793488502502,36.1554484367371,11.7250003814697,23.1600005626679,0.716689169406891,0.727242827415466,0.617120519280434,0.826811477541924
"[50,52)",10,13.3315997600555,9.58200025558472,10.7224091128142,30.1916095890411,0.000344653077500469,0.00344653077500469,28.5135250091553,25.5571250915527,32.8851623535156,5.424999833107,18.449999332428,0.532690045237541,0.523894488811493,0.243137899786234,0.80708010494709
"[52,54)",11,14.1963637091897,9.60000038146973,9.52777727601136,30.6747716894977,0.00035016862659244,0.0035016862659244,36.2122993469238,36.2122993469238,36.2122993469238,6.7000002861023,18.75,0.587293554436077,0.569498062133789,0.348939262330532,0.827044636011124
"[54,56)",15,10.0992532571157,11.5,5.28525669877064,30.4364155251142,0.000347447665811805,0.00347447665811806,31.2179393768311,28.2685499191284,35.594500541687,5.54999995231628,12.2999997138977,0.48708364268144,0.608888864517212,0.271568574011326,0.638888895511627
"[56,58)",13,10.457446208367,8.80000019073486,7.89337812265266,32.3432648401827,0.00036921535205688,0.0036921535205688,23.3306503295898,20.7627000808716,26.4349004427592,4.80000019073486,12.1999998092651,0.439445850940851,0.5,0.203566119074821,0.63991767168045
"[58,60)",8,16.2979000806808,13.2999997138977,11.3633508605595,30.073801369863,0.000343308234815788,0.00343308234815788,28.6716499328613,27.2393498420715,32.9667999744415,8.10000026226044,22.6403999328613,0.639434645883739,0.681208044290543,0.482142850756645,0.874288827180862
"[60,62)",10,9.60966669718425,7.63333340485891,6.82877160279996,30.6313356164384,0.00034967278100957,0.0034967278100957,34.122432867686,29.5262124538422,37.5582421620687,6.12249982357025,9.87499976158142,0.435917544613282,0.400290654351314,0.269949235022068,0.583515912294388
"[62,64)",7,10.276114327567,6.80000019073486,5.81533098542559,29.6865296803653,0.000338887325118325,0.00338887325118325,33.5281982421875,32.7711904843648,37.7696113586426,5.9663999080658,15.6000003814697,0.490586808749608,0.343629330396652,0.304956957697868,0.750554740428925
"[64,66)",16,13.697449862957,11.7856001853943,7.14136957390678,31.4546232876712,0.000359071042096704,0.00359071042096704,23.3355007171631,21.4109001159668,28.1968994140625,8.60000002384186,19.699999332428,0.604242100380361,0.645502626895905,0.461281649768353,0.833268359303474
"[66,68)",7,8.57520001275199,5.12639999389648,5.54033075669852,29.8447488584475,0.000340693480119264,0.00340693480119264,24.3784494400024,23.9010243415833,24.8558745384216,4.70000004768372,11.5999999046326,0.407500513962337,0.264099031686783,0.206975072622299,0.590771809220314
"[68,70)",8,9.34120005369186,7.9500002861023,5.09535247600999,28.998401826484,0.000331031984320594,0.00331031984320594,,,,6.32159984111786,12.3999998569489,0.453452157787979,0.416897833347321,0.326349206268787,0.657614961266518
"[70,72)",6,14.0013333161672,14.3540000915527,6.20036219222216,30.9050799086758,0.000352797715852463,0.00352797715852463,36.9001403808594,36.9001403808594,36.9001403808594,9.84999990463257,16.6019999980927,0.663179457187653,0.741853982210159,0.542353831231594,0.795088782906532
"[72,74)",13,12.6766461225656,11.6999998092651,8.97301325301381,31.4858447488585,0.000359427451470987,0.00359427451470987,29.6665000915527,26.1991500854492,29.8271503448486,6.67000007629395,15.6999998092651,0.564399475088486,0.626903533935547,0.347826093435288,0.777992248535156
"[74,76)",6,19.4833329518636,17.2499995231628,7.57269200095562,31.5872146118722,0.000360584641688038,0.00360584641688038,31.8164501190186,29.3317503929138,34.3630412419637,15.0250000953674,25.5499992370606,0.779744446277618,0.782329469919205,0.729416325688362,0.87619686126709
"[76,78)",8,14.8216998577118,11.9000000953674,7.95740747073506,30.5382420091324,0.000348610068597402,0.00348610068597402,35.4050750732422,33.7255878448486,37.0845623016357,8.84340012073517,20.5249996185303,0.663310628384352,0.677996426820755,0.530848182737827,0.831805020570755
"[78,80)",10,15.6720400810242,14.5999999046326,9.04826446979355,30.5352168949772,0.00034857553533079,0.0034857553533079,33.7585506439209,28.8219757080078,36.132050037384,11.5999999046326,19.8250002861023,0.658003705739975,0.729501992464066,0.631234437227249,0.831747010350227
