week,n,mean,median,sd,age,age25,age75,bmi,bmi25,bmi75,q25,q75,qmean,qmedian,qq25,qq75
"[46,48)",4322,87.8986464610314,87,10.6434314772289,30.2191780821918,0.00034496778632639,0.0034496778632639,24.9769992828369,21.6311492919922,29.2964998881022,81,94,0.550617667237255,0.580274820327759,0.288809537887573,0.820490837097168
"[48,50)",4392,87.8541363094819,86,10.6408868320765,30.2998287671233,0.0003458884562457,0.003458884562457,24.9740009307861,21.5048999786377,29.6100630760193,81,94,0.548722676576179,0.57145881652832,0.296098321676254,0.820490837097168
"[50,52)",4336,87.6318842212213,86,10.5530936951433,30.348002283105,0.000346438382227226,0.00346438382227226,24.6538000106812,21.5139007568359,28.8414993286133,80,93,0.542977232654249,0.559742093086243,0.280750006437302,0.815606594085693
"[52,54)",4538,88.2462758921274,87,10.8367299584818,30.4941780821918,0.000348107055732783,0.00348107055732783,25.1485996246338,21.6084499359131,30.1194000244141,81,94,0.556858193855248,0.591620206832886,0.29818993806839,0.823922216892242
"[54,56)",4620,87.7956782083663,86,10.7328159853429,30.4530821917808,0.000347637924563708,0.00347637924563708,24.9261503219605,21.6284747123718,29.7527008056641,81,93,0.544375118947479,0.571325957775116,0.288809537887573,0.815147280693054
"[56,58)",4519,88.2026333252818,87,10.5940257573767,30.4835616438356,0.000347985863514105,0.00347985863514105,24.9694499969482,21.3593006134033,29.1747627258301,81,94,0.559163893144936,0.59182345867157,0.307813465595245,0.831778287887573
"[58,60)",4323,87.4884917881101,86,10.380642873412,30.5406392694064,0.000348637434582265,0.00348637434582265,24.7441997528076,21.4619007110596,29.4060878753662,81,93,0.540189068235126,0.559742093086243,0.288302302360535,0.803539752960205
"[60,62)",4373,87.7270866706337,86,10.7433463433637,30.5132420091324,0.000348324680469548,0.00348324680469548,24.7367000579834,21.185049533844,29.7016749382019,80,93,0.542038458465354,0.559502422809601,0.279734283685684,0.815606594085693
"[62,64)",4404,87.9379692675885,87,10.567843406911,30.5079337899543,0.000348264084360209,0.00348264084360209,25.25950050354,21.4965496063232,30.0875997543335,81,94,0.551492956444469,0.57145881652832,0.296098321676254,0.820490837097168
"[64,66)",4324,87.8876618839656,87,10.535065911869,30.5900114155251,0.000349201043556223,0.00349201043556223,24.8699502944946,21.0976383686066,29.7520999908447,81,93,0.549695238733301,0.57145881652832,0.303888946771622,0.815606594085693
"[66,68)",4371,87.765614274164,86,10.5537835984925,30.5133561643836,0.000348325983611685,0.00348325983611685,24.6095495223999,21.3381996154785,29.5158996582031,81,93,0.545984198836399,0.57145881652832,0.288809537887573,0.815606594085693
"[68,70)",4471,88.0142846451255,87,10.6675615419595,30.6200913242009,0.000349544421509143,0.00349544421509143,24.5674991607666,21.2035493850708,29.8281874656677,81,94,0.551254901038407,0.57145881652832,0.29818993806839,0.820490837097168
"[70,72)",4247,87.7967506518273,86,10.6704090686125,30.5229452054795,0.000348435447551135,0.00348435447551135,24.6903991699219,21.3540253639221,30.4790337880453,80,93,0.544328753664133,0.571325957775116,0.284526154398918,0.815147280693054
"[72,74)",4349,88.3099448159526,87,10.6792445595861,30.5049086757991,0.000348229551093597,0.00348229551093597,24.5932250022888,21.2306003570557,29.9521375894547,81,94,0.559827656005439,0.59182345867157,0.307813465595245,0.82875919342041
"[74,76)",4221,87.8726960457606,87,10.5313406817738,30.6027397260274,0.000349346343904422,0.00349346343904422,24.6082000732422,21.2292499542236,29.389749844869,81,93,0.549291612006644,0.57145881652832,0.296098321676254,0.816031396389008
"[76,78)",4192,87.8645395959607,87,10.4987306679228,30.5872716894977,0.000349169768144951,0.00349169768144951,24.464599609375,21.25909948349,29.4574003219605,80,94,0.549401157964394,0.580348551273346,0.280750006437302,0.820490837097168
"[78,80)",4169,87.7007595698801,86,10.6947344823639,30.5575342465753,0.00034883029961844,0.0034883029961844,24.919900894165,21.2214002609253,29.4097003936768,80,93,0.541230726676778,0.571325957775116,0.272998213768005,0.815147280693054
